N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
60,메리츠금융지주,"44,150",650,-1.45%,500,"59,166","134,011",8.87,"190,459",8.32,16.06,
61,LG유플러스,"13,500",150,-1.10%,"5,000","58,943","436,611",35.65,"215,463",15.02,6.46,
62,한국조선해양,"83,200",900,+1.09%,"5,000","58,883","70,773",19.62,"118,249",-4.56,-7.42,
63,CJ제일제당,"389,500","10,500",+2.77%,"5,000","58,636","15,054",22.00,"46,781",13.28,13.50,
64,메리츠화재,"48,550",900,-1.82%,500,"58,563","120,625",12.40,"191,391",10.07,16.91,
65,KODEX 200,"36,910",210,+0.57%,0,"56,841","154,000",11.87,"1,402,390",N/A,N/A,
66,맥쿼리인프라,"13,850",50,-0.36%,0,"56,071","404,846",13.49,"84,859",N/A,N/A,
67,강원랜드,"26,000",350,-1.33%,500,"55,625","213,940",19.39,"678,947",-168.83,-7.92,
68,미래에셋증권,"8,710",60,+0.69%,"5,000","55,336","635,316",13.11,"367,211",5.96,8.94,
69,SKC,"143,000","5,000",+3.62%,"5,000","54,152","37,868",16.41,"114,226",29.13,2.21,
70,코웨이,"72,400",800,-1.09%,500,"53,431","73,800",60.78,"60,228",11.99,31.51,
71,현대제철,"39,400",300,+0.77%,"5,000","52,578","133,446",20.62,"197,210",6.03,-2.59,
72,삼성중공업,"5,460",0,0.00%,"1,000","48,048","880,000",13.62,"1,207,186",-2.22,-33.06,
73,현대건설,"41,950",250,+0.60%,"5,000","46,714","111,356",22.85,"163,533",27.89,1.84,
74,일진머티리얼즈,"99,900","2,000",+2.04%,500,"46,065","46,111",13.12,"173,267",72.50,7.23,
75,금호석유,"151,000","3,000",+2.03%,"5,000","45,747","30,296",19.79,"84,312",2.70,20.18,
76,삼성엔지니어링,"23,050",100,+0.44%,"5,000","45,178","196,000",35.96,"403,767",12.76,17.32,
77,DB손해보험,"63,500",300,+0.47%,500,"44,958","70,800",43.00,"52,417",5.64,9.08,
78,한국타이어앤테크놀로지,"35,500",350,+1.00%,500,"43,976","123,875",41.23,"136,825",6.66,5.12,
79,한국금융지주,"78,200","1,200",+1.56%,"5,000","43,578","55,726",34.28,"107,211",2.68,16.27,
80,유한양행,"57,900",700,+1.22%,"1,000","42,401","73,231",17.30,"51,865",43.90,11.06,
81,메리츠증권,"6,090",60,-0.98%,"1,000","41,517","681,731",13.25,"627,509",6.18,13.08,
82,오리온,"103,500","1,500",+1.47%,500,"40,920","39,536",37.08,"37,574",17.21,15.50,
83,현대중공업지주,"50,100",650,+1.31%,"1,000","39,576","78,993",16.82,"153,779",-11.61,-8.12,
84,두산밥캣,"39,050",700,+1.83%,500,"39,147","100,249",25.23,"111,394",10.68,6.15,
85,쌍용C&E,"7,750",30,-0.39%,100,"39,049","503,860",3.34,"163,887",18.95,7.92,
86,이마트,"140,000",0,0.00%,"5,000","39,026","27,876",33.68,"30,286",2.82,4.05,
87,삼성증권,"42,500",600,+1.43%,"5,000","37,952","89,300",29.64,"141,773",4.00,9.89,
88,한진칼,"56,500",600,+1.07%,"2,500","37,708","66,739",14.65,"37,793",-64.35,-19.55,
89,GS,"40,250",300,+0.75%,"5,000","37,398","92,915",18.84,"73,151",3.65,-2.82,
90,삼성카드,"32,100",350,+1.10%,"5,000","37,191","115,859",7.06,"70,162",7.92,5.69,
91,한국항공우주,"37,150",0,0.00%,"5,000","36,212","97,475",13.23,"388,792",252.72,6.39,
92,아모레G,"42,950",750,+1.78%,500,"35,416","82,458",15.92,"50,621",24.12,0.31,
93,NH투자증권,"11,900",200,+1.71%,"5,000","35,347","297,034",17.60,"300,547",4.37,10.32,
94,현대차2우B,"95,000",400,+0.42%,"5,000","34,661","36,485",62.80,"17,537",4.81,N/A,
95,KCC,"381,500","19,000",-4.74%,"5,000","33,902","8,886",11.52,"55,913",4.82,12.79,
96,현대오토에버,"123,500","1,500",-1.20%,500,"33,869","27,424",1.96,"31,944",44.83,11.09,
97,한국가스공사,"36,600",0,0.00%,"5,000","33,787","92,313",10.36,"65,171",7.60,-2.24,
98,GS건설,"39,250",200,-0.51%,"5,000","33,591","85,581",26.01,"184,173",9.56,7.68,
99,한미약품,"258,500","6,000",+2.38%,"2,500","31,842","12,318",13.20,"11,840",41.18,1.65,
100,한미사이언스,"46,300",400,+0.87%,500,"31,773","68,624",2.36,"24,747",58.68,3.47,
101,DB하이텍,"70,400","1,600",-2.22%,"5,000","31,257","44,399",25.24,"374,465",14.71,23.07,
102,호텔신라,"78,800","2,300",+3.01%,"5,000","30,928","39,248",13.22,"609,594",-30.25,-36.74,
103,TIGER 차이나전기차SOLACTIVE,"15,035",700,-4.45%,0,"30,756","204,560",0.15,"2,158,810",N/A,N/A,
104,GS리테일,"29,100",300,+1.04%,"1,000","30,473","104,718",8.17,"81,516",2.94,7.50,
105,한전기술,"78,000","1,000",-1.27%,200,"29,812","38,220",1.95,"309,595",293.23,N/A,
106,롯데지주,"28,200",0,0.00%,200,"29,584","104,909",7.73,"46,042",14.70,-3.03,
107,현대미포조선,"72,500","2,400",+3.42%,"5,000","28,958","39,942",10.51,"272,227",-18.84,-0.84,
108,한화시스템,"15,300",150,-0.97%,"5,000","28,905","188,919",2.07,"202,613",18.55,9.35,
109,BGF리테일,"164,000","1,500",-0.91%,"1,000","28,346","17,284",32.17,"13,205",20.52,18.60,
110,CJ대한통운,"122,000","1,000",+0.83%,"5,000","27,831","22,812",21.05,"13,517",94.50,3.89,
111,팬오션,"5,170",90,+1.77%,"1,000","27,637","534,570",11.65,"1,096,840",8.88,3.25,
112,한화생명,"3,170",5,+0.16%,"5,000","27,532","868,530",8.02,"631,655",3.60,1.90,
113,BNK금융지주,"8,340",10,-0.12%,"5,000","27,183","325,935",40.20,"267,495",3.33,6.11,
114,동서,"27,250",200,+0.74%,500,"27,168","99,700",2.78,"33,252",25.59,8.61,
115,제일기획,"22,650",100,+0.44%,200,"26,057","115,041",31.38,"85,518",13.35,16.11,
116,한솔케미칼,"228,000","5,000",+2.24%,"5,000","25,844","11,335",41.98,"32,387",17.79,24.50,
117,에스원,"67,600",900,+1.35%,500,"25,687","37,999",52.91,"26,755",16.90,10.48,
118,한화에어로스페이스,"50,700",300,+0.60%,"5,000","25,669","50,630",17.14,"210,624",9.20,4.78,
119,포스코인터내셔널,"20,100",400,-1.95%,"5,000","24,798","123,375",6.99,"328,681",8.12,7.69,
120,신세계,"249,000","3,500",+1.43%,"5,000","24,514","9,845",24.92,"22,028",9.36,-2.81,
121,키움증권,"93,100",100,+0.11%,"5,000","24,410","26,220",25.33,"28,737",2.68,27.63,
122,롯데쇼핑,"86,100","1,600",+1.89%,"5,000","24,357","28,289",11.17,"73,725",-9.15,-7.70,
123,CJ,"83,300",200,-0.24%,"5,000","24,304","29,177",17.22,"24,626",72.18,1.89,
124,하이트진로,"34,600",850,+2.52%,"5,000","24,266","70,134",4.45,"680,977",47.14,8.23,
125,두산퓨얼셀,"36,800",0,0.00%,100,"24,102","65,494",13.62,"140,524",736.00,4.18,
126,LG화학우,"313,000","4,500",+1.46%,"5,000","24,066","7,689",71.90,"8,254",8.16,N/A,
127,현대해상,"26,750",150,-0.56%,500,"23,914","89,400",27.39,"153,342",6.25,7.13,
128,만도,"50,500",100,+0.20%,"1,000","23,713","46,957",18.95,"131,523",10.64,0.37,
129,대우건설,"5,670",80,-1.39%,"5,000","23,566","415,623",10.99,"802,151",4.82,11.06,
130,대우조선해양,"21,600",100,+0.47%,"5,000","23,175","107,291",4.71,"118,773",-1.57,2.27,
131,현대차우,"94,600",600,-0.63%,"5,000","23,041","24,357",58.55,"8,871",4.79,N/A,
132,SK케미칼,"129,500",500,-0.38%,"5,000","22,819","17,621",17.91,"27,972",61.73,30.49,
133,한화,"29,650",50,+0.17%,"5,000","22,225","74,959",15.66,"99,479",5.02,4.79,
